1,Cuando tuvo lugar la primera Copa Mundial de Futbol?,A- En 1920,B- En 1930,C- En 1940,D- En 1950,B
2,Quien es el maximo goleador de la historia de la Copa Mundial de Futbol?,A- Miroslav Klose,B- Ronaldo Nazario,C- Gerd Muller,D- Pele,A
3,Que animal fue el escogido para ilustrar la mascota del Mundial de Rusia?,A- Un perro,B- Un gato,C- Un lobo,D- Un loro,C
4,Hablando de mascotas, cual de estas mascotas no pertenece a la historia del Mundial?,A- Fuleco, B- Footix,C- Naranjito,D- TopTip,D
5,A que futbolista se conoce con el apodo de Harry Potter?,A- Luis Arturo Hernandez Carreon,B- Diego Maradona,C- Just Fontaine,D- Ricardo Quaresma,D
6,Donde tendra lugar la Copa Mundial de Futbol de 2022?,A- En Australia,B- En Qatar,C- En Islandia,D- En Suiza,B
7,Que empresa fabrica el cuero con el que se juega el mundial?,A- Pedro del Hierro,B- Puma,C- Nike,D- Adidas,D
8,Cuantos mundiales de futbol ha ganado Espanya?,A- 1,B- 2,C- 3,D- 4,A
9,Recuerdas donde se jugo la Copa del Mundial del anyo 2010?,A- En Italia,B- En Sudafrica,C- En Brasil,D- En Estados Unidos,B
10,Que jugador fue asesinado tras marcarse un gol en propia puerta?,A- Lucas Molina,B- Fabio Tornaro,C- Andres Escobar,D- Pietro Bastov,C
11,Que equipo gano el mundial en 1986?,A- Argentina,B- Italia,C- Francia,D- Alemania,A
12,Que nombre recibe el balon oficial del Mundial?,A- Mannschaft,B- Telstar,C- Bildo,D- Ballstar,B
